nama_toko,lokasi_seller,url_toko,rating_toko,jumlah_produk,kategori_dijual,contoh_produk
Merries,Kab. Gresik,https://www.lazada.co.id/merries/?type=brand,-,3,Ibu & Bayi,"Merries Good Skin Pants Popok Bayi Baru Lahir NB-S40 x4 (3-8kg) isi 160 pcs [Karton]
Rp
214.700
Rp
279.400
-23% | Merries Popok Bayi Good Skin Pants L28 isi 4 pcs (9-14kg) [Karton]
Rp226.600 | Merries Good Skin Pants Popok Perlengkapan Bayi XXL28 x4 (15-25kg) Isi 112 pcs [Karton]
Rp
302.100
Rp
390.200
-23%"
Infinix,Kab. Gresik,https://www.lazada.co.id/lazada6948148_infinix-127221255/?type=brand,-,3,Handphone & Aksesoris | Lainnya,"Infinix Smart 8 Pro 16+128G Garansi Resmi
Rp1.568.000 -13% | Infinix Smart 20 HP 4+64G G81 120Hz 5200mAh
Rp1.739.000 | Infinix XPAD 30E 4GB+4GB (Extended RAM) /128GB - MediaTek Helio G80 - 11"" FHD+ 60Hz - 7200 mAh - 4G LTE
Rp2.549.000"
Honda,Kab. Gresik,https://www.lazada.co.id/honda/?type=brand,-,3,Lainnya | Otomotif,"Oli Gardan Ahm Gear Oil Gir Matic Honda 120ml 1 Karton x 48 botol harga perdus
Rp524.170 -1% | OLI OIL AHM MPX 2 800ML 12 BOTOL 1/2 DUS
Rp608.235 -1% | KAMPAS REM BELAKANG TROMOL HONDA VARIO VARIO 110 125 150 BEAT FI STREET BEAT POP SCOOPY SPACY OLD NEW GENIO BEAT FI NEW LED KZL
Rp30.060 -3%"
Focallure,Kab. Gresik,https://www.lazada.co.id/focallure_1/?type=brand,-,3,Lainnya,"FOCALLURE Oil Control Loose Powder Bedak Pengaturan Bubuk 3 colors
Rp
37.900
Rp
89.000
-57% | [NEW]FOCALLURE 8-color Eyeshadow Palette Matte Shimmer High Pigment Silky Texture
Rp116.000 | Focallure Matte Pressed Powder Pressed Powder
Rp
45.000
Rp
115.000
-61%"
Ultra Milk,Kab. Gresik,https://www.lazada.co.id/ultra-milk/?type=brand,-,3,Lainnya,"Ultra Milk Susu UHT Cokelat 200ml isi 24 pcs [Karton]
Rp119.465 | [Paket isi 6] Ultra Milk Susu UHT Full Cream 1L
Rp120.600 | Ultra Milk Susu UHT Full Cream 200ml isi 24 pcs [Karton]
Rp119.500"
Yamalube,Kab. Gresik,https://www.lazada.co.id/yamalube/?type=brand,-,3,Otomotif,"Yamalube Oli Matic 20W-40 800ml 3pcs Yamaha Matic
Rp119.000 -34% | Oli Yamalube Sport 1L
Rp56.373 -1% | Oli Yamalube matic 800ml perbotol
Rp53.685 -4%"
Sweety,Kab. Gresik,https://www.lazada.co.id/sweety/?type=brand,-,3,Lainnya,"[Paket isi 3] Sweety Max Protection - Sweety Silver Upgrade L54 (11-15kg)
Rp261.700 | Sweety Max Protection - Sweety Silver Upgrade L54 (11-15kg)
Rp91.100 | [Paket Isi 2] Sweety Max Protection - Sweety Silver Upgrade XL42 (14-18kg)
Rp166.300"
Baby Happy,Kab. Gresik,https://www.lazada.co.id/baby-happy/?type=brand,-,2,Ibu & Bayi,"Baby Happy Pants XL38 (12-17kg) - Popok Celana Sekali Pakai
Rp68.600 | BABY HAPPY PANTS S38-2, M32,L28, XL26, XXL24 ( TIPE CELANA)
Rp46.900 -18%"
AP Boots,Kab. Gresik,https://www.lazada.co.id/ap-boots/?type=brand,-,2,Sepatu & Sandal,"Sepatu Boot Tinggi AP 9506-AP Boots Hijau Karet Lokal Anti Air & Slip Lentur Perkebunan
Rp135.629 -1% | Sepatu Boot Tinggi AP 2017 AP Boots Hijau Tua Karet Lokal Anti Air & Slip Lentur Perkebunan
Rp109.889 -1%"
Aspira,Kab. Gresik,https://www.lazada.co.id/aspira/?type=brand,-,2,Lainnya,"BAN DALAM RING 14 BELAKANG 275/300-14 ASPIRA ISI 10 PCS
Rp301.500 -15% | PAKET BAN DALAM MATIC RING 14 250/275-14 ISI 5 PCS ORIGINAL ASPIRA
Rp139.256 -15%"
