nama_toko,lokasi_seller,url_toko,rating_toko,jumlah_produk,kategori_dijual,contoh_produk
Little Harvey Land,Kab. Gresik,https://www.lazada.co.id/shop/little-harvey-land/?itemId=8032506065&channelSource=pdp,-,1,Hobi & Koleksi,"Mainan Edukasi Puzzle Nano Blok DIY Kartun
Rp3.352 -78%"
Kenko,Kab. Gresik,https://www.lazada.co.id/kenko/?type=brand,-,1,Lainnya,"PEN KENKO HITECH 0,28M
Rp37.128 -12%"
KYMM SKIN,Kab. Gresik,https://www.lazada.co.id/lazada4986002360_kymm%20skin-125892242/?type=brand,-,1,Kecantikan,"[Free Pouch] KYMM SKIN Glow Package LEVEL 1 with Bakuchiol Serum [FW 60ml, FM 60ml, Serum 20ml, Day Cream 10gr, Night Cream 10gr] | Paket Glowing Premium
Rp115.700 -82%"
Kingdom,Kab. Gresik,https://www.lazada.co.id/kingdom/?type=brand,-,1,Lainnya,"Lemari Pakaian Plastik Lemari Kingdom Boti Lemari Minimalis Aesthetic Lemari Serbaguna Pakaian
Rp93.456 -27%"
LED,Kab. Gresik,https://www.lazada.co.id/lazada6940282_led-127221268/?type=brand,-,1,Lainnya,"PCB LED AC JS Premium 5 7 9 12 15 18 24 30 40 45 50 Modul Mesin Lampu Led Watt Nyala Putih Terang
Rp6.173 -4%"
OPPO,Kab. Gresik,https://www.lazada.co.id/lazada6704003360_oppo-127167011/?type=brand,-,1,Lainnya,"[ONLINE EXCLUSIVE!] OPPO A6t 4/64GB | 4/128GB | 6/128GB [Snapdragon 685, 120Hz Fast Responsive Screen, 6500mAh Battery, 48-Month Fluency Protection]
Rp2.474.000"
Nescafé,Kab. Gresik,https://www.lazada.co.id/nescafe/?type=brand,-,1,Makanan & Minuman,"Nescafe Ice Roast Kopi Americano Instan 10x2g
Rp12.444"
Pond's,Kab. Gresik,https://www.lazada.co.id/pond-s/?type=brand,-,1,Lainnya,"Ponds Age Miracle Hexyl Retinol Niacinamide Day Cream 9gr - Mencerahkan Kulit dalam 7 hari dengan 10x kekuatan Anti Aging Terbaik
Rp
31.600
Rp
41.400
-24%"
Polytron,Kab. Gresik,https://www.lazada.co.id/polytron/?type=brand,-,1,Elektronik,"POLYTRON Multimedia Speaker PMA 9527 /BA
Rp1.135.000"
Poise,Kab. Gresik,https://www.lazada.co.id/poise/?type=brand,-,1,Lainnya,"[Paket isi 2] POISE Facial Foam Clear Shine Tube 100gr - Sabun Muka / Pembersih Wajah
Rp30.700"
Pixy,Kab. Gresik,https://www.lazada.co.id/pixy/?type=brand,-,1,Lainnya,"PIXY Wanderlust Quad Eyeshadow
Rp51.920"
PUTRI,Kab. Gresik,https://www.lazada.co.id/putri/?type=brand,-,1,Ibu & Bayi,"[PERAWATAN RAMBUT INTENSIF] Putri Hair Tonic All Variant 450mL | Tonik Memperkuat Akar Rambut | Hair Tonik Murah | Mempercepat Pertumbuhan Rambut, Baby Hair | Atasi Permasalahan Rambut Rontok, Kering,"
ProATT,Kab. Gresik,https://www.lazada.co.id/proatt/?type=brand,-,1,Sepatu & Sandal,"Sepatu sekolah anak PROATT PA 700V & PC 950 sz 31-38(FREE KAOS KAKI)
Rp114.000 -4%"
RK,Kab. Gresik,https://www.lazada.co.id/rk/?type=brand,-,1,Olahraga & Outdoor,"RK Kunci Sepeda Set 16 In 1 Toolkit Kunci Lipat Portable
Rp11.500"
QME,Kab. Gresik,https://www.lazada.co.id/lazada5430014360_qme-126126209/?type=brand,-,1,Olahraga & Outdoor,"TERPAL A8 4x6 3x3 3x4 3x5 2x3meter Tahan Air & Panas Terpal plastik Terpal tenda Terpal Serba Guna Premium Harga Termurah
Rp26.100"
S-26,Kab. Gresik,https://www.lazada.co.id/s-26/?type=brand,-,1,Lainnya,"S-26 Promise Gold Tahap 4 Susu Vanila 1600g x3
Rp1.473.900"
Orbit,Kab. Gresik,https://www.lazada.co.id/orbit/?type=brand,-,1,Lainnya,"(10 pcs) Sok 1/2"" inch AW / Sock Pipa 1/2"" PVC Orbit / Socket 1/2"" PVC / Sok Pipa 1/2 / Sock 1/2""
Rp11.321 -2%"
Pesona Naturals,Kab. Gresik,https://www.lazada.co.id/shop/pesona-naturals/?itemId=8165830574&channelSource=pdp,-,1,Ibu & Bayi,"MY BABY MINYAK TELON PLUS 150ml, 90ml, 60ml AROMA EUCALYPTUS & LAVENDER
Rp13.900 -72%"
Narita,Kab. Gresik,https://www.lazada.co.id/narita/?type=brand,-,1,Lainnya,"Kaca Mika Speedometer Kilometer BEAT KARBU KVY 2008 - 2012
Rp50.000"
O.TWO.O,Kab. Gresik,https://www.lazada.co.id/o-two-o/?type=brand,-,1,Kecantikan,"O.TWO.O Misty Kiss Lipstik Matte Silky 24 Jam
Rp56.500 -29%"
OLIVE CARE,Kab. Gresik,https://www.lazada.co.id/lazada6326018360_olive%20care-127053004/?type=brand,-,1,Kesehatan,"Olive Care Vitamin Obat Kucing BLUE TREE Cold & Flu dengan 8 Bahan Aktif Immune Booster untuk Mengatasi Sakit Flu & Pilek Berat, Hidung Tersumbat, Bersin-Bersin, Mata Berair, Basmi Bakteri dan Virus, "
OMG,Kab. Gresik,https://www.lazada.co.id/omg-brand/?type=brand,-,1,Lainnya,"OMG Lip Cream Matte Kiss Ombre
Rp22.900 -24%"
Nihala Store,Kab. Gresik,https://www.lazada.co.id/shop/nihala-store/?itemId=7786272727&channelSource=pdp,-,1,Fashion Muslim,"Kerudung Bergo Anak Sekolah SD/SMP/SMA Bahan Spandek Jersey Ped Busa / Hijab instan / Jilbab Bergo Hamidah - Nihala Store
Rp16.800 -53%"
Serasoft,Kab. Gresik,https://www.lazada.co.id/serasoft-196067/?type=brand,-,1,Lainnya,"[Paket isi 2] Serasoft Shampoo Dandruff Treatment Botol 170ml
Rp29.300"
Samsung,Kab. Gresik,https://www.lazada.co.id/lazada6704001360_samsung-127167401/?type=brand,-,1,Lainnya,"Samsung Galaxy A07 - 4/64GB
Rp2.029.000"
SCORA,Kab. Gresik,https://www.lazada.co.id/lazada6692048360_scora-127185203/?type=brand,-,1,Lainnya,"SCORA Toner 80ml Cica/Milky/D-Panthenol Essence
Rp25.600"
SGM,Kab. Gresik,https://www.lazada.co.id/shop/sgm/?itemId=499064051&channelSource=pdp,-,1,Lainnya,"SGM Eksplor Isopro Soy 1+ Madu Susu Pertumbuhan 2x700gr - Untuk Usia >1 Tahun
Rp
164.100
Rp
208.200
-21%"
ROSE BRAND,Kab. Gresik,https://www.lazada.co.id/rose-brand/?type=brand,-,1,Lainnya,"Minyak Goreng Rose Brand @ 2 Ltr
Rp43.225"
Reiwa,Kab. Gresik,https://www.lazada.co.id/lazada8087152360_reiwa-127400452/?type=brand,-,1,Lainnya,"AC REIWA 0.5 PK 1 PK l AC Window l AC Portable l Hemat Listrik l Cepat Dingin - CW0501RA - CW0901RA
Rp2.643.000 -53%"
Reynand Shop,Kab. Gresik,https://www.lazada.co.id/shop/reynand-shop/?itemId=2967800145&channelSource=pdp,-,1,Lainnya,"COD CREAM JRG / CREAM BONEKA / CREAM BANDUNG
Rp38.703 -50%"
SunCo,Kab. Gresik,https://www.lazada.co.id/sunco/?type=brand,-,1,Lainnya,"SunCo Minyak Goreng Pouch 2L isi 6 pcs [Karton]
Rp281.800"
Toko Ter-Murah,Kab. Gresik,https://www.lazada.co.id/shop/toko-ter-murah/?itemId=8088274998&channelSource=pdp,-,1,Lainnya,"LEMARI PAKAIAN NAPOLLY MIDICAB 5412 ION PUMA
Rp1.534.500 -49%"
Towels,Kab. Gresik,https://www.lazada.co.id/towels_1/?type=brand,-,1,Lainnya,"Towels Handuk Mandi Dewasa 140x70 Lembut Serap Air
Rp19.885 -56%"
Tropical,Kab. Gresik,https://www.lazada.co.id/lazada6932528_tropical-127230037/?type=brand,-,1,Lainnya,"Tropical Minyak Goreng Botol 1L
Rp23.500"
Ultra Mimi,Kab. Gresik,https://www.lazada.co.id/ultra-mimi/?type=brand,-,1,Lainnya,"Ultra Mimi Susu UHT Full Cream 125ml isi 40 pcs [Karton]
Rp124.900"
Vidoran,Kab. Gresik,https://www.lazada.co.id/vidoran/?type=brand,-,1,Ibu & Bayi,"vidoran Xmart 3+ Vanilla 900gr Susu Formula Pertumbuhan Anak 3-5 Tahun - 3 box (Exp : 07.2027)
Rp198.360"
WD,Kab. Gresik,https://www.lazada.co.id/wd/?type=brand,-,1,Lainnya,"WD Batu Potong Besi 4"" 20pcs
Rp73.000 -1%"
Tiebymin,Kab. Gresik,https://www.lazada.co.id/tiebymin-124409001/?type=brand,-,1,Lainnya,"Tiebymin - Adeeva Bergo Zipper Jersey
Rp59.999"
Star Tape,Kab. Gresik,https://www.lazada.co.id/star%20tape-110078715/?type=brand,-,1,Lainnya,"Double tape 12 mm x 10 yard Star Tape - 10 pcs
Rp21.453 -2%"
Watsons,Kab. Gresik,https://www.lazada.co.id/shop/watsons/?itemId=8646346526&channelSource=pdp,-,1,Lainnya,"So Fresh Minyak Angin Aromatherapy Hot 10ml Bundle
Rp12.500"
Wardah,Kab. Gresik,https://www.lazada.co.id/wardah/?type=brand,-,1,Lainnya,"Wardah Acnederm Salicylic Acid Zinc Low pH Cleanser
Rp25.970"
Wings Flagship Store,Kab. Gresik,https://www.lazada.co.id/shop/wings-flagship-store/?itemId=8189250124&channelSource=pdp,-,1,Rumah Tangga,"[Paket isi 2] Mama Lemon Sabun Cuci Piring Jeruk Nipis 1500ml
Rp28.200"
Wings Flagship Store,Kab. Gresik,https://www.lazada.co.id/shop/wings-flagship-store/?itemId=1874738669&channelSource=pdp,-,1,Lainnya,"Emeron Shampoo Soft & Smooth Botol 170ml
Rp11.000"
Wipol,Kab. Gresik,https://www.lazada.co.id/wipol/?type=brand,-,1,Lainnya,"[BELI 2 LEBIH HEMAT] Wipol Karbol Lantai Cemara 2x720ml
Rp19.500"
X-Prime,Kab. Gresik,https://www.lazada.co.id/x-prime/?type=brand,-,1,Lainnya,"[COD] Ready Stock Samsug X-PRIME Tablet Flagship Murah 5G Baru S24 Pad|11.6 inch HD|16GB+520GB ROM|Android 13|Dual Sim Card advan Tablet Murah 100ribuan Anak computer tablet learning, entertainment, o"
Xiaomi,Kab. Gresik,https://www.lazada.co.id/lazada6708005360_xiaomi-127167609/?type=brand,-,1,Lainnya,"(Preorder, pengiriman mulai 12 Sep 2026) - Xiaomi Smart Air Purifier 4 Lite Pembersih Udara Pintar Sirkulasi 360° Koneksi Wifi Jangkauan 43m² dengan Kontrol Suara
Rp2.199.000"
Wings Flagship Store,Kab. Gresik,https://www.lazada.co.id/shop/wings-flagship-store/?itemId=8812264196&channelSource=pdp,-,1,Lainnya,"Posh Perfume Spray 150ml
Rp15.300"
Y.O.U,Kab. Gresik,https://www.lazada.co.id/you/?type=brand,-,1,Kecantikan,"YOU Sunbrella Acne Shield Light Sunscreen SPF40+ PA++++ | Tabir Surya Oil Control untuk Kulit Berjerawat | Sensitive Acne Skin Friendly | UVA UVB Blue Light
Rp40.800"
Yamaha,Kab. Gresik,https://www.lazada.co.id/yamaha/?type=brand,-,1,Otomotif,"OLI YAMALUBE SPORT 1 LITER SEMI SYNTHETIC 10W-40/API SL HARGA PERBOTOL 1 BOTOL
Rp61.750 -5%"
aepura,Kab. Gresik,https://www.lazada.co.id/lazada8114284360_aepura-127438012/?type=brand,-,1,Lainnya,"aepura Red-Ginseng Hair Activating Shampoo 300ml - 2pcs
Rp189.000"
becoming,Kab. Gresik,https://www.lazada.co.id/lazada8111021360_becoming-127428437/?type=brand,-,1,Lainnya,"becoming B5 Sheet Mask 25ml Panthenol 8pcs
Rp53.489"
itel,Kab. Gresik,https://www.lazada.co.id/lazada7232037_itel-127256803/?type=brand,-,1,Lainnya,"itel S26 Ultra 8+8/256GB 144Hz 1.5K AMOLED, 6000mAh, IP65 Waterproof, Gorilla Glass 7i, AI Eraser, NFC
Rp3.087.900"
ms glow,Kab. Gresik,https://www.lazada.co.id/ms-glow/?type=brand,-,1,Lainnya,"Ms Glow Night Cream
Rp79.000"
tropicana slim,Kab. Gresik,https://www.lazada.co.id/tropicana%20slim-110268433/?type=brand,-,1,Lainnya,"Tropicana Slim Pemanis Diabtx 100 Sachet
Rp84.700"
turanza,Kab. Gresik,https://www.lazada.co.id/turanza/?type=brand,-,1,Olahraga & Outdoor,"Turanza Stem dudukan stang sepeda BMX
Rp33.473 -16%"
