Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Suci Rahmawati,5,2025-07-16T03:26:54.426Z,Ada link buat ngurus lewat online kah ??
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,ANA HABIBAH,5,2025-07-11T03:32:39.772Z,Pelayanan cepat dan ramah 😍
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,gani wilopo,5,2025-06-16T04:23:46.865Z,
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Mardarena Kristina Putri,5,2025-06-13T01:50:20.518Z,Kalau nik waktu daftar mbanking tidak terdaftar tapi domisili diluar gresik apa bisa tolong kasih saran
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Cak Bayu Mancing,5,2025-06-10T15:49:46.886Z,"Apakah bisa mengurus ktp yg hilang, tapi ktp luar kota?"
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Maiza Widayanti,4,2025-06-10T03:45:00.198Z,Lumayan
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Dadio Apik,5,2025-06-04T02:41:11.680Z,PEMDES SIDORAHARJO Terimakasih atas pelayanan yg Sangat Prima DISPENDUK CAPIL dg langkah JEMPUT BOLA  rekam e-KTP di RS Paciran.
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Moh Thoyib,5,2025-06-04T02:38:43.622Z,Terimakasih atas pelanannya yg sangat prima
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,fiki zainudin,5,2025-06-03T05:53:48.185Z,
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Helvi Pahlevi,5,2025-06-01T07:52:32.843Z,Pelayan yang ramah cepat dan memuaskan
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Muhammad Gilang,5,2025-06-01T07:20:40.658Z,pelayanan mantab  dan cepat   sehari langsung jadi
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,aini habibah,5,2025-06-01T07:19:11.691Z,Pelayanannya sangat cepat dan ramah
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Calista Misnan,5,2025-06-01T06:50:02.519Z,Pelayanan bagus dan cepat
