Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan
RSUD Ibnu Sina Gresik,4.2,1807,Dimas Andrean.f,5,2026-06-19T02:49:14.063Z,
RSUD Ibnu Sina Gresik,4.2,1807,Hadi Asih,5,2026-06-16T10:17:17.655Z,
RSUD Ibnu Sina Gresik,4.2,1807,Amin Abqory,1,2026-06-16T07:18:06.986Z,
RSUD Ibnu Sina Gresik,4.2,1807,Jessica Li,5,2026-06-15T00:11:50.046Z,
RSUD Ibnu Sina Gresik,4.2,1807,marina dewi fitriyani,5,2026-06-15T00:09:58.902Z,Fasilitas memadai
RSUD Ibnu Sina Gresik,4.2,1807,Reggina Reviana Hotari,5,2026-06-15T00:00:38.070Z,
RSUD Ibnu Sina Gresik,4.2,1807,PERDANU ANDRA RISKI OFFIANTO _,5,2026-06-13T04:52:25.718Z,"Pelayanan luar biasa! Stafnya ramah, dokter sangat komunikatif dan profesional, serta lingkungan rumah sakit yang bersih. Proses antrean juga teratur dan tidak memakan waktu lama. Gedung yang baru terasa nyaman walaupun antrean banyak."
RSUD Ibnu Sina Gresik,4.2,1807,Regita Naswa,4,2026-06-13T04:14:25.306Z,
RSUD Ibnu Sina Gresik,4.2,1807,siti nur faridah,5,2026-06-13T03:39:49.887Z,Pelayanannya ramah
RSUD Ibnu Sina Gresik,4.2,1807,Yulita Putri,5,2026-06-13T03:37:17.774Z,"pelayana baik, rs bersih"
RSUD Ibnu Sina Gresik,4.2,1807,Suryani Putro,5,2026-06-11T13:14:38.344Z,Terakhir kesini 2 th lalu.kemarin suami habis priksa dan opname disini lagi.kaget banget pelayanannya lebih cepat dan lebih nyaman.terimakasih para pegawai RS Ibnu sina atas pelayanannya
RSUD Ibnu Sina Gresik,4.2,1807,Alfi Kurnianti,1,2026-06-11T06:20:02.055Z,"Pelayanan lama, daftar poli gigi mulai set9 sampai jam set2 baru ditangani. Dokternya baru datang jam 11. Waktu dipanggil satu2, tidak sesuai nomor antrian. Yang datang belakangan ditangani duluan. Minta tolong untuk diperbaiki pelayanannya, meskipun bpjs tiap bulannya juga bayar. Terimakasih 🙏🏻"
RSUD Ibnu Sina Gresik,4.2,1807,Dwi Astuti,5,2026-06-09T05:34:58.426Z,Terima kasih buat semua perawat dahlia ygsudah merawat anka saya 🙏🙏🙏🙏
RSUD Ibnu Sina Gresik,4.2,1807,Elin Ernawati,5,2026-06-09T01:35:30.661Z,"Alhamdulillah,,,mulai tgl 8 bln 4 opname ygpertama,,sampai masuk yg ke2 di bln juni selama 8 hari so far so good,,,dari dr.siska welcome dg pertanyaan pasien dan bisa memahamkan sy,,begitupun dg dr.bedah di jelaskan begitu detail sekali,,,perawat dan petugas di ruang IXIA,,super duper baik sekali...langsung sigap cepat,,,trimakasih dokter,suster dan RSUD.IBNU SINA"
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Ummi Farikhah,4,2023-04-06T07:35:08.666Z,
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Leonardus Haryosampang G,5,2023-04-04T01:12:46.059Z,"Pelayanan cepat, dipermudah, biaya transparan dan perlu ditiru di semua area di Indonesia"
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Azundha Rahmadani A.,5,2023-03-21T04:17:07.952Z,"untuk fasilitas yang disediakan sudah sangat baik. tetapi untuk loket 5 dari dinkes gresik kurang tanggap pelayanannya, follow up revisi pengurusan SIP belum sampai ke petugas yang sedang berjaga di MPP, akhirnya harus menunggu revisi SIP yang baru lebih dari satu jam."
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Lin9 PouLin3,4,2023-03-15T15:45:35.349Z,
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Opa OpA,5,2023-03-13T01:56:16.057Z,Terima kasih atas pelayanan nya
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,sumadi bukhori,1,2023-02-16T00:17:28.037Z,"Pelayanan yang ribet dan lemot, terutama loket 13 pak sugi suka ilang ilangan orangnya gk niat kerja"
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Aliaa Nurrahma,5,2023-02-13T11:05:08.364Z,Mudah cepat plyanannya..
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Adit Rahman,3,2023-01-26T04:17:56.706Z,"Niat nya mau ambil Kartu Keluarga yang saya ngurus 2 hari lalu di dukcapil, di kasih surat pengambilan di suruh ambil nya di kantor MPP. Saya datang jam 10 an pagi, katanya petugas nya nggak ada dan di suruh kembali jam 13:00 atau besok pagi nya. Apa iya petugas nya cuma 1 dan gak ada gantinya, atau tiap hari ada kuota jatah untuk KK, kasihan yg sudah izin kerja niat buat ambil, ternyata petugas nya gak ada atau nihil. Untuk tempat nya bagus dan nyaman, karena masih baru juga."
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Imam Safii,5,2022-07-28T14:34:34.123Z,One stop services integration
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Muhammad Ahmad,4,2022-07-27T06:39:59.092Z,Gedung bagus Parkir luas
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Suzy,5,2022-07-11T04:24:19.208Z,Pelayanan cepat tanpa bingung ninggal baby lama2...  Ngurus kk dan KTP cuma bbrapa menit sudah jadi...
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,insanul jayanti,5,2022-07-07T08:12:47.328Z,
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,cahyo subchi,1,2022-06-17T02:11:32.955Z,"Pelayanan masih selevel dengan kelurahan dan kecamatan, hari ini jaringan trouble, ditolak pelayanan dan diarahkan ke dispendukcapil untuk cetak ktp.Tidak ada pemberitahuan sebelumnya padahal kemarin pemberitahuan untuk mengurus via WA. Estimasi waktu pun tidak bisa disampaikan kapan seleseinya.Jawaban penanganan karena jaringan troble mirip sekali dengan di kecamatan dan kelurahan."
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,BAS DIMSUM,5,2022-06-08T02:15:25.347Z,
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Rosari Utomo,5,2022-06-02T03:34:20.256Z,"Mengurus pindah penduduk antar kota dalam provinsi bisa dilakukan di mpp ini dengan mudah, sekaligus bisa bayar pajak kendaraan ya di sini juga bisa."
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Sella GesitC,5,2022-05-25T09:10:12.562Z,👍
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Ummu Zulfa,5,2022-05-19T05:32:16.075Z,"Pelayanan memuaskan, cepat, ramah, ada kafetaria juga. Tempatnya adem, bersih."
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,F D,5,2022-05-13T20:12:46.521Z,
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,rina agustin,2,2022-05-12T02:09:38.483Z,Loket imb hanya 1 orang. Antrian per orangnya  bisa sampek 30menit.
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Shafira Rosh,3,2022-04-13T16:40:47.438Z,"Ruang tunggu sangat nyaman. Petugas resepsionis depan sangat ramah + sigap memberi arahan & no antrian.  Saya  mengurus perubahan data KK namun petugas KK kurang ramah dan tdk memberi penjelasan pd customer, smg kedepannya diperbaiki karena seharusnya petugas mengedepankan pelayanan yg baik dan jelas agar customer tidak bingung dan urusan cepat selesai."
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Denata Ricko,5,2022-04-12T03:52:51.804Z,"Mengurus pergantian alamat KTP di booth disdukcapil sangat cepat.  Tidak perlu bawa FC""an Cukup bawa KTP lama dan KK Asli."
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Akhmad muhtadiyn,3,2022-04-12T02:31:02.576Z,"Jam bukanya yg kurang, saran saya buka 24jam"
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,BIBIE HOBI,5,2022-03-29T05:23:32.455Z,Pelayanan sangat cepet Tempat antrian juga nyaman
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Nur Salim,3,2022-03-10T17:50:54.950Z,
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,D3 TM 16 Fareid Piston 07,1,2022-02-24T05:21:03.306Z,12.05 sudah tutup maszeh
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Rizki Adi Adha,5,2022-02-24T04:10:00.431Z,"Pelayanannya cepat sekali. Untuk yang baru pertama kali kesini tempanya paling belakang. Dari pintu masuk mengikuti jalan belokan pertama liat pertigaan sebelah kiri, kemudian lurus terus sekitar kurang kebih 500 belok kanan nanti ada petunjuknya jika kurang faham"
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Ikhwanun N,5,2022-01-27T14:11:49.002Z,MANTAP
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Gee_ Hart0,5,2021-12-29T04:42:57.405Z,Bikin ktp baru syaratnya cuma fc kk . Trus lgs foto.. Bsoknya Tinggal ambil kartu KTPnya.. Mantap pelayananya. Terimakasih utk pemerintah👍👍👍🇮🇩🇮🇩🇮🇩
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Retno Dini,5,2021-12-15T12:13:06.663Z,"Baru tau kalo Gresik udah punya fasilitas pelayanan publik yang sangat ngebantu banget. Semua instansi pelayanan publik dikumpulkan dalam 1 gedung yang nyaman dan aman. Antriannya jauh lebih sepi dari kantor aslinya, jadi kalo ngurus apa2 jadi serba cepet. Fasilitas juga lengkap mulai dari wifi gratis, cafetaria, bahkan ruang laktasi. Semuanya dalam keadaan baik dan bersih. Kursi tunggu juga nyaman banget. Kebetulan kesana buat urus SKCK, jadi diarahkan buat ambil antrian polres dan langsung ditanganin karna ga ada yang antri😬. Ibu2nya ramah banget, asik diajak ngobrol. Dan ternyata mall pelayanan publik ini udah berjalan setahun lebih, yakin bgt banyak orang gresik yang ga tau. Mungkin ini PR buat pemkab buat sosialisasi ke masyarakat. Good job buat gresik udah berani selangkah lebih maju dari kota2 lain✨"
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,mohammed hassan ali,4,2021-11-15T21:34:16.228Z,"pelayanan publik yang cepat seperti pengurusan OSS (one single submission), PBB, Tilangan, dan lain-lain"
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Inez Chu,2,2021-11-05T04:54:51.653Z,"Utk pengurusan IMB ini jadinya gmn??katanya mau ganti PBG tapi pengurusan belum jelas,diminta menunggu tanpa kejelasan. Tolong keputusannya ini bgmn jadinya biar prosesnya bisa dipercepat!!"
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Kenzo Jovan,5,2021-09-22T04:31:41.139Z,Ini sangat membantu mengurangi antrian di kantor kantor aslinya. Pelayanan nya pun sangat cepat banget. Tempatnya berada di area pemda gresik. Tempatnya sangat bersih dan rapi pengunjung di manjakan ama kursi tunggu sofa yang empuk. Bagus banget aku suka aku suka
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Rikhal Watanabe,5,2021-09-17T01:01:03.307Z,
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Nasichun Amin Gresik,5,2021-08-12T09:51:10.688Z,Bagus
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Farit Syafrulloh,4,2021-08-04T13:59:49.344Z,
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Bagus Wicaksono,5,2021-08-04T04:16:59.378Z,"Pelayanan baik dan cepat , untuk lebih cepat pelayanan daftar online saja karna tinggal ambil berkas jadi di sini . Mantap tingkatkan terus pelayanannya 👍🏻"
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,sokip bonek,3,2021-06-07T13:33:09.639Z,Apa disini bisa ngurus pembaruan data ktp dan bpjs?
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Laili fitriyah,5,2021-06-07T03:39:01.411Z,Urus pembaruan data ektp. Gak sampe 10 menit udah jadi.
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,ummi thoyyibah,5,2021-06-05T02:28:51.711Z,
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Dody Pratignyo,4,2021-04-26T06:04:23.626Z,Belum Maximal. Karena Pegawai yang di Utus bukan Pegawai yang sudah Profesional.
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Choirul Azali,5,2021-04-19T11:59:49.761Z,Mau tanya ktp luar kota tapi masih wil jatim bisa ngurus disini ta...ktp saya blur tulisanya banyak yang hilang...kebetulan saya kerja di gresik
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Alva Nabilla,5,2021-04-08T23:56:47.896Z,Pelayanan cepat dan tempatnya nyaman
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Asrori Oyi,3,2021-04-08T03:10:44.882Z,Tolong untuk persyaratan mengenai adminitrasi kependudukan  kk atau ktp bisa di beritahuakan di kelurahan agar masyarakat yang mau mengurus bisa langsung jadi dan tidak kembali 2 kali...semoga gresik jadi lebih baik.
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,sri wahyuni,1,2021-03-08T08:18:53.948Z,
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Rachman Arief,4,2021-03-08T01:22:16.046Z,"Jam pelayanan kok tdk sama antar instansi, ada yang buka jam 8 ada juga yang buka jam 8.30, mohon bisa dikoreksi utk jam buka pastinya."
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Ingsun Bae,5,2021-02-18T02:24:59.427Z,"Tempat pelayanan publik di Gresik, pegawai ramah tempat bersih dan sejuk pertahankan kalau bisa tingkatkan"
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Zuhroni Ali Fikri,5,2020-12-19T17:11:54.656Z,Cukup nyaman. Lokasi agak membingungkan awalnya karena MPP berada di belakang.
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Reni Sartina,4,2020-11-29T12:19:13.793Z,It's informative place with simple settings. Love to come to this place
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,sahabat kita,4,2020-11-10T08:05:20.855Z,"Tempatnya nyaman, bagus, bersih dan pelayanannya baik, yang menurut saya kurang mungkin SDM nya di tambah lagi dan di tingkat kan lagi dari segi lama proses pelayanan nya, sebagian besar proses wabil khusus nya pelayanan pengurusan imb, site plan. Semoga tambah lagi di tingkat kan lagi pelanannya dan inovasi dalam pelayanan perijinan dll, Bravo Kab. Gresik 👍👍👍"
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Mohammad Kemal,5,2020-10-14T01:52:43.303Z,
